,ProjectID,BuildingID,Number,Street,Borough,Postcode,Latitude,Longitude,LowIncomeUnits
797,58589,332727.0,851,MARCY AVENUE,Brooklyn,11216.0,40.684216,-73.946972,4
798,58589,338936.0,396A,MONROE STREET,Brooklyn,11221.0,40.686363,-73.942727,3
799,58589,358074.0,319,PUTNAM AVENUE,Brooklyn,11216.0,40.684164,-73.948948,3
800,58589,358136.0,401,PUTNAM AVENUE,Brooklyn,11216.0,40.684588,-73.94527,4
801,58589,358151.0,415,PUTNAM AVENUE,Brooklyn,11216.0,40.684643,-73.944805,4
802,58589,358228.0,493,PUTNAM AVENUE,Brooklyn,11221.0,40.684985,-73.941834,3
803,58589,381667.0,400,TOMPKINS AVENUE,Brooklyn,11216.0,40.683640999999994,-73.94398000000001,9
804,58589,381669.0,404,TOMPKINS AVENUE,Brooklyn,11216.0,40.683451,-73.94394399999999,6
805,58589,381673.0,409,TOMPKINS AVENUE,Brooklyn,11216.0,40.683476,-73.943926,3
806,58855,326587.0,541,LINCOLN PLACE,Brooklyn,11238.0,40.671696000000004,-73.95838499999999,19
807,58855,326588.0,547,LINCOLN PLACE,Brooklyn,11238.0,40.671673999999996,-73.958269,16
808,58855,326592.0,553,LINCOLN PLACE,Brooklyn,11238.0,40.671649,-73.958158,17
809,53017,972068.0,409,SCHROEDERS AVENUE,Brooklyn,11239.0,40.653228000000006,-73.876857,0
810,53017,972071.0,411,SCHROEDERS AVENUE,Brooklyn,11239.0,40.653259000000006,-73.876789,0
811,53017,972073.0,413,SCHROEDERS AVENUE,Brooklyn,11239.0,40.653289,-73.87671999999999,0
812,53017,972074.0,415,SCHROEDERS AVENUE,Brooklyn,11239.0,40.653319,-73.876652,0
813,53017,972078.0,417,SCHROEDERS AVENUE,Brooklyn,11239.0,40.653349,-73.876583,0
814,53017,972080.0,1228,JEROME STREET,Brooklyn,11239.0,40.653568,-73.876496,0
815,53017,972081.0,1226,JEROME STREET,Brooklyn,11239.0,40.653667,-73.876565,0
816,53017,972082.0,1224,JEROME STREET,Brooklyn,11239.0,40.653769,-73.87661899999999,0
817,53017,972083.0,1222,JEROME STREET,Brooklyn,11239.0,40.653873,-73.876665,0
818,53017,972084.0,1220,JEROME STREET,Brooklyn,11239.0,40.65398,-73.876701,0
819,53017,972087.0,1218,JEROME STREET,Brooklyn,11239.0,40.654087,-73.876726,0
820,53017,972088.0,1216,JEROME STREET,Brooklyn,11239.0,40.654196999999996,-73.876737,0
821,53017,972089.0,1214,JEROME STREET,Brooklyn,11239.0,40.654307,-73.87674,0
